Scientific name	English name	Family	Global IUCN Red List Category
Crypturellus noctivagus	Yellow-legged Tinamou	Tinamidae (Tinamous)	NT
Penelope pileata	White-crested Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Penelope ochrogaster	Chestnut-bellied Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Penelope jacucaca	White-browed Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Ortalis araucuan	East Brazilian Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis squamata	Scaled Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis superciliaris	Buff-browed Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Crax pinima	Belem Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	CR
Crax blumenbachii	Red-billed Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	EN
Mitu mitu	Alagoas Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	EW
Columbina cyanopis	Blue-eyed Ground-dove	"Columbidae (Pigeons, Doves)"	CR
Nyctiprogne vielliardi	Bahian Nighthawk	Caprimulgidae (Nightjars)	LC
Nyctipolus hirundinaceus	Pygmy Nightjar	Caprimulgidae (Nightjars)	LC
Ramphodon naevius	Saw-billed Hermit	Trochilidae (Hummingbirds)	LC
Glaucis dohrnii	Hook-billed Hermit	Trochilidae (Hummingbirds)	VU
Anopetia gounellei	Broad-tipped Hermit	Trochilidae (Hummingbirds)	LC
Phaethornis major	Ash-bellied Hermit	Trochilidae (Hummingbirds)	LC
Phaethornis squalidus	Dusky-throated Hermit	Trochilidae (Hummingbirds)	LC
Phaethornis aethopygus	Tapajos Hermit	Trochilidae (Hummingbirds)	VU
Phaethornis idaliae	Minute Hermit	Trochilidae (Hummingbirds)	LC
Augastes scutatus	Hyacinth Visorbearer	Trochilidae (Hummingbirds)	LC
Augastes lumachella	Hooded Visorbearer	Trochilidae (Hummingbirds)	NT
Lophornis magnificus	Frilled Coquette	Trochilidae (Hummingbirds)	LC
Clytolaema rubricauda	Brazilian Ruby	Trochilidae (Hummingbirds)	LC
Heliomaster squamosus	Stripe-breasted Starthroat	Trochilidae (Hummingbirds)	LC
Stephanoxis lalandi	Green-crowned Plovercrest	Trochilidae (Hummingbirds)	LC
Campylopterus calcirupicola	Dry-forest Sabrewing	Trochilidae (Hummingbirds)	VU
Campylopterus diamantinensis	Diamantina Sabrewing	Trochilidae (Hummingbirds)	NT
Thalurania watertonii	Long-tailed Woodnymph	Trochilidae (Hummingbirds)	EN
Eupetomena cirrochloris	Sombre Hummingbird	Trochilidae (Hummingbirds)	LC
Aramides mangle	Little Wood-rail	"Rallidae (Rails, Gallinules, Coots)"	LC
Psophia ochroptera	Ochre-winged Trumpeter	Psophiidae (Trumpeters)	LC
Psophia dextralis	Olive-winged Trumpeter	Psophiidae (Trumpeters)	EN
Psophia obscura	Black-winged Trumpeter	Psophiidae (Trumpeters)	CR
Pterodroma arminjoniana	Trindade Petrel	"Procellariidae (Petrels, Shearwaters)"	VU
