Scientific name	English name	Family	Global IUCN Red List Category
Rhea americana	Greater Rhea	Rheidae (Rheas)	NT
Tinamus tao	Grey Tinamou	Tinamidae (Tinamous)	VU
Tinamus solitarius	Solitary Tinamou	Tinamidae (Tinamous)	NT
Tinamus major	Great Tinamou	Tinamidae (Tinamous)	LC
Tinamus guttatus	White-throated Tinamou	Tinamidae (Tinamous)	NT
Crypturellus cinereus	Cinereous Tinamou	Tinamidae (Tinamous)	LC
Crypturellus soui	Little Tinamou	Tinamidae (Tinamous)	LC
Crypturellus obsoletus	Brown Tinamou	Tinamidae (Tinamous)	LC
Crypturellus undulatus	Undulated Tinamou	Tinamidae (Tinamous)	LC
Crypturellus strigulosus	Brazilian Tinamou	Tinamidae (Tinamous)	LC
Crypturellus duidae	Grey-legged Tinamou	Tinamidae (Tinamous)	LC
Crypturellus erythropus	Red-legged Tinamou	Tinamidae (Tinamous)	LC
Crypturellus noctivagus	Yellow-legged Tinamou	Tinamidae (Tinamous)	NT
Crypturellus atrocapillus	Black-capped Tinamou	Tinamidae (Tinamous)	LC
Crypturellus variegatus	Variegated Tinamou	Tinamidae (Tinamous)	LC
Crypturellus brevirostris	Rusty Tinamou	Tinamidae (Tinamous)	LC
Crypturellus bartletti	Bartlett's Tinamou	Tinamidae (Tinamous)	LC
Crypturellus parvirostris	Small-billed Tinamou	Tinamidae (Tinamous)	LC
Crypturellus tataupa	Tataupa Tinamou	Tinamidae (Tinamous)	LC
Rhynchotus rufescens	Red-winged Tinamou	Tinamidae (Tinamous)	LC
Nothura boraquira	White-bellied Nothura	Tinamidae (Tinamous)	LC
Nothura minor	Lesser Nothura	Tinamidae (Tinamous)	VU
Nothura maculosa	Spotted Nothura	Tinamidae (Tinamous)	LC
Taoniscus nanus	Dwarf Tinamou	Tinamidae (Tinamous)	EN
Penelope marail	Marail Guan	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Penelope superciliaris	Rusty-margined Guan	"Cracidae (Guans, Chachalacas, Curassows)"	NT
Penelope jacquacu	Spix's Guan	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Penelope obscura	Dusky-legged Guan	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Penelope pileata	White-crested Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Penelope ochrogaster	Chestnut-bellied Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Penelope jacucaca	White-browed Guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Pipile cumanensis	Blue-throated Piping-guan	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Pipile grayi	White-throated Piping-guan	"Cracidae (Guans, Chachalacas, Curassows)"	NT
Pipile cujubi	Red-throated Piping-guan	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Pipile jacutinga	Black-fronted Piping-guan	"Cracidae (Guans, Chachalacas, Curassows)"	EN
Ortalis canicollis	Chaco Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis guttata	Speckled Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis araucuan	East Brazilian Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis squamata	Scaled Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis motmot	Little Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Ortalis superciliaris	Buff-browed Chachalaca	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Nothocrax urumutum	Nocturnal Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Crax alector	Black Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	LC
Crax fasciolata	Bare-faced Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	VU
Crax pinima	Belem Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	CR
Crax globulosa	Wattled Curassow	"Cracidae (Guans, Chachalacas, Curassows)"	EN
