"name"	"result.year"	"result.assess_year"	"result.code"	"result.category"
"Rhea americana"	"2022"	"2022"	"NT"	"Near Threatened"
"Rhea americana"	"2016"	"2016"	"NT"	"Near Threatened"
"Rhea americana"	"2012"	"2012"	"NT"	"Near Threatened"
"Rhea americana"	"2008"	"2008"	"NT"	"Near Threatened"
"Rhea americana"	"2004"	"2004"	"NT"	"Near Threatened"
"Rhea americana"	"2000"	"2000"	"LR/nt"	"Lower Risk/near threatened"
"Rhea americana"	"1994"	"1994"	"LR/nt"	"Lower Risk/near threatened"
"Rhea americana"	"1988"	"1988"	"NT"	"Near Threatened"
"Tinamus tao"	"2019"	"2018"	"VU"	"Vulnerable"
"Tinamus tao"	"2016"	"2016"	"VU"	"Vulnerable"
"Tinamus tao"	"2012"	"2012"	"VU"	"Vulnerable"
"Tinamus tao"	"2009"	"2009"	"LC"	"Least Concern"
"Tinamus tao"	"2008"	"2008"	"LC"	"Least Concern"
"Tinamus tao"	"2004"	"2004"	"LC"	"Least Concern"
"Tinamus tao"	"2000"	"2000"	"LR/lc"	"Lower Risk/least concern"
"Tinamus tao"	"1994"	"1994"	"LR/lc"	"Lower Risk/least concern"
"Tinamus tao"	"1988"	"1988"	"LR/lc"	"Lower Risk/least concern"
"Tinamus solitarius"	"2019"	"2018"	"NT"	"Near Threatened"
"Tinamus solitarius"	"2016"	"2016"	"NT"	"Near Threatened"
"Tinamus solitarius"	"2012"	"2012"	"NT"	"Near Threatened"
"Tinamus solitarius"	"2008"	"2008"	"NT"	"Near Threatened"
"Tinamus solitarius"	"2004"	"2004"	"NT"	"Near Threatened"
"Tinamus solitarius"	"2000"	"2000"	"LR/nt"	"Lower Risk/near threatened"
"Tinamus solitarius"	"1994"	"1994"	"LR/nt"	"Lower Risk/near threatened"
"Tinamus solitarius"	"1988"	"1988"	"T"	"Threatened"
"Tinamus major"	"2021"	"2020"	"LC"	"Least Concern"
"Tinamus major"	"2016"	"2016"	"NT"	"Near Threatened"
"Tinamus major"	"2012"	"2012"	"NT"	"Near Threatened"
"Tinamus major"	"2009"	"2009"	"LC"	"Least Concern"
"Tinamus major"	"2008"	"2008"	"LC"	"Least Concern"
"Tinamus major"	"2004"	"2004"	"LC"	"Least Concern"
"Tinamus major"	"2000"	"2000"	"LR/lc"	"Lower Risk/least concern"
"Tinamus major"	"1994"	"1994"	"LR/lc"	"Lower Risk/least concern"
"Tinamus major"	"1988"	"1988"	"LR/lc"	"Lower Risk/least concern"
"Tinamus guttatus"	"2019"	"2019"	"NT"	"Near Threatened"
"Tinamus guttatus"	"2016"	"2016"	"NT"	"Near Threatened"
"Tinamus guttatus"	"2012"	"2012"	"NT"	"Near Threatened"
"Tinamus guttatus"	"2009"	"2009"	"LC"	"Least Concern"
"Tinamus guttatus"	"2008"	"2008"	"LC"	"Least Concern"
"Tinamus guttatus"	"2004"	"2004"	"LC"	"Least Concern"
"Tinamus guttatus"	"2000"	"2000"	"LR/lc"	"Lower Risk/least concern"
"Tinamus guttatus"	"1994"	"1994"	"LR/lc"	"Lower Risk/least concern"
"Tinamus guttatus"	"1988"	"1988"	"LR/lc"	"Lower Risk/least concern"
"Crypturellus cinereus"	"2016"	"2016"	"LC"	"Least Concern"
"Crypturellus cinereus"	"2012"	"2012"	"LC"	"Least Concern"
"Crypturellus cinereus"	"2009"	"2009"	"LC"	"Least Concern"
"Crypturellus cinereus"	"2008"	"2008"	"LC"	"Least Concern"
"Crypturellus cinereus"	"2004"	"2004"	"LC"	"Least Concern"
"Crypturellus cinereus"	"2000"	"2000"	"LR/lc"	"Lower Risk/least concern"
"Crypturellus cinereus"	"1994"	"1994"	"LR/lc"	"Lower Risk/least concern"
"Crypturellus cinereus"	"1988"	"1988"	"LR/lc"	"Lower Risk/least concern"
"Crypturellus soui"	"2021"	"2020"	"LC"	"Least Concern"
