scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Rhea americana,Rhea americana,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Tinamus tao,Tinamus tao,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Tinamus solitarius,Tinamus solitarius,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Tinamus guttatus,Tinamus guttatus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Crypturellus noctivagus,Crypturellus noctivagus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Nothura minor,Nothura minor,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Taoniscus nanus,Taoniscus nanus,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Penelope superciliaris,Penelope superciliaris,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Penelope pileata,Penelope pileata,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Penelope ochrogaster,Penelope ochrogaster,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Penelope jacucaca,Penelope jacucaca,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Aburria cumanensis grayi,Pipile grayi,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Aburria cujubi,Pipile cujubi,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Aburria jacutinga,Pipile jacutinga,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Crax fasciolata,Crax fasciolata,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Crax fasciolata pinima,Crax pinima,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Crax globulosa,Crax globulosa,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Crax blumenbachii,Crax blumenbachii,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pauxi tomentosa,Mitu tomentosum,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pauxi mitu,Mitu mitu,EW,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pauxi tuberosa,Mitu tuberosum,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Mergus octosetaceus,Mergus octosetaceus,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Neochen jubata,Neochen jubata,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Phoenicopterus chilensis,Phoenicopterus chilensis,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Phoenicoparrus andinus,Phoenicoparrus andinus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Columbina cyanopis,Columbina cyanopis,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Paraclaravis geoffroyi,Paraclaravis geoffroyi,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Hydropsalis anomala,Eleothreptus anomalus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Hydropsalis candicans,Eleothreptus candicans,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Cypseloides niger,Cypseloides niger,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Chaetura pelagica,Chaetura pelagica,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Glaucis dohrnii,Glaucis dohrnii,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Phaethornis aethopygus,Phaethornis aethopygus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Augastes lumachella,Augastes lumachella,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Lophornis gouldii,Lophornis gouldii,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Lophornis chalybeus,Lophornis chalybeus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Campylopterus calcirupicola,Campylopterus calcirupicola,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Campylopterus diamantinensis,Campylopterus diamantinensis,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Thalurania watertonii,Thalurania watertonii,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Neomorphus geoffroyi,Neomorphus geoffroyi,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Laterallus jamaicensis,Laterallus jamaicensis,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Laterallus xenopterus,Laterallus xenopterus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Laterallus spilopterus,Laterallus spilopterus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Psophia leucoptera,Psophia leucoptera,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Psophia viridis,Psophia viridis,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Psophia dextralis,Psophia dextralis,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Psophia obscura,Psophia obscura,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Eudyptes chrysolophus,Eudyptes chrysolophus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Hydrobates leucorhous,Hydrobates leucorhous,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Diomedea sanfordi,Diomedea sanfordi,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Diomedea epomophora,Diomedea epomophora,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Diomedea exulans,Diomedea exulans,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Diomedea dabbenena,Diomedea dabbenena,CR,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Phoebetria fusca,Phoebetria fusca,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Phoebetria palpebrata,Phoebetria palpebrata,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Thalassarche chlororhynchos,Thalassarche chlororhynchos,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Thalassarche chrysostoma,Thalassarche chrysostoma,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Thalassarche cauta,Thalassarche cauta,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Thalassarche cauta steadi,Thalassarche steadi,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pterodroma arminjoniana,Pterodroma arminjoniana,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pterodroma deserta,Pterodroma deserta,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Pterodroma incerta,Pterodroma incerta,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Procellaria cinerea,Procellaria cinerea,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Procellaria aequinoctialis,Procellaria aequinoctialis,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Procellaria conspicillata,Procellaria conspicillata,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Ardenna grisea,Ardenna grisea,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Calonectris edwardsii,Calonectris edwardsii,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Agamia agami,Agamia agami,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Fregata aquila,Fregata aquila,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Morus capensis,Morus capensis,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Numenius borealis,Numenius borealis,CR(PE),Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Limosa lapponica,Limosa lapponica,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Calidris canutus,Calidris canutus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Calidris subruficollis,Calidris subruficollis,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Calidris pusilla,Calidris pusilla,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Larus atlanticus,Larus atlanticus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Glaucidium mooreorum,Glaucidium mooreorum,CR(PE),Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Vultur gryphus,Vultur gryphus,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Leptodon forbesi,Leptodon forbesi,EN,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Morphnus guianensis,Morphnus guianensis,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Harpia harpyja,Harpia harpyja,VU,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
Spizaetus ornatus,Spizaetus ornatus,NT,Global,2022,BirdLife Data Zone,http://datazone.birdlife.org/species/results?thrlev1=&thrlev2=&kw=&fam=0&gen=0&spc=&cmn=&reg=11&cty=30&incvag=Y
