scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Amadonastur lacernulatus,Amadonastur lacernulatus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Circus cinereus,Circus cinereus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Harpia harpyja,Harpia harpyja,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Leptodon forbesi,Leptodon forbesi,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Morphnus guianensis,Morphnus guianensis,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Urubitinga coronata,Urubitinga coronata,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Mergus octosetaceus,Mergus octosetaceus,CR,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Augastes lumachella,Augastes lumachella,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Campylopterus calcirupicola,Campylopterus calcirupicola,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Colibri delphinae greenewalti,Colibridelphinae greenewalti,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Discosura langsdorffi langsdorffi,Discosuralangsdorffi langsdorffi,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Glaucis dohrnii,Glaucis dohrnii,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
