x,speciesCBRO2021
"Aves Aves Struthioniformes Rheidae Rhea americana (Linnaeus, 1758) ema CR","Rhea americana (Linnaeus, 1758)"
"Aves Aves Tinamiformes Tinamidae Tinamus solitarius (Vieillot, 1819) macuco VU","Tinamus solitarius (Vieillot, 1819)"
"Aves Aves Tinamiformes Tinamidae Crypturellus undulatus (Temminck, 1815) jaó EN","Crypturellus undulatus (Temminck, 1815)"
"Aves Aves Tinamiformes Tinamidae Crypturellus noctivagus (Wied, 1820) jaó-do-sul EN","Crypturellus noctivagus (Wied, 1820)"
"Aves Aves Tinamiformes Tinamidae Rhynchotus rufescens (Temminck, 1815) perdiz VU","Rhynchotus rufescens (Temminck, 1815)"
"Aves Aves Tinamiformes Tinamidae Nothura minor (Spix, 1825) codorna-mineira CR","Nothura minor (Spix, 1825)"
"Aves Aves Tinamiformes Tinamidae Taoniscus nanus (Temminck, 1815) inhambu-carapé CR","Taoniscus nanus (Temminck, 1815)"
"Aves Aves Anseriformes Anhimidae Anhima cornuta (Linnaeus, 1766) anhuma CR","Anhima cornuta (Linnaeus, 1766)"
"Aves Aves Anseriformes Anatidae Neochen jubata (Spix, 1825) pato-corredor CR","Neochen jubata (Spix, 1825)"
"Aves Aves Anseriformes Anatidae Sarkidiornis sylvicola Ihering & Ihering, 1907 pato-de-crista EN","Sarkidiornis sylvicola Ihering & Ihering, 1907"
"Aves Aves Galliformes Cracidae Ortalis guttata (Spix, 1825) aracuã CR","Ortalis guttata (Spix, 1825)"
"Aves Aves Galliformes Cracidae Aburria jacutinga (Spix, 1825) jacutinga CR","Aburria jacutinga (Spix, 1825)"
"Aves Aves Galliformes Cracidae Crax fasciolata Spix, 1825 mutum-de-penacho CR","Crax fasciolata Spix, 1825"
"Aves Aves Procellariiformes Diomedeidae Thalassarche chlororhynchos (Gmelin, 1789) albatroz-de-nariz-amarelo VU","Thalassarche chlororhynchos (Gmelin, 1789)"
"Aves Aves Procellariiformes Diomedeidae Thalassarche melanophris (Temminck, 1828) albatroz-de-sobrancelha VU","Thalassarche melanophris (Temminck, 1828)"
"Aves Aves Procellariiformes Diomedeidae Diomedea exulans Linnaeus, 1758 albatroz-gigante VU","Diomedea exulans Linnaeus, 1758"
"Aves Aves Procellariiformes Diomedeidae Diomedea dabbenena Mathews, 1929 albatroz-de-tristão EN","Diomedea dabbenena Mathews, 1929"
"Aves Aves Procellariiformes Procellariidae Pterodroma incerta (Schlegel, 1863) grazina-de-barriga-branca VU","Pterodroma incerta (Schlegel, 1863)"
"Aves Aves Procellariiformes Procellariidae Procellaria aequinoctialis Linnaeus, 1758 pardela-preta VU","Procellaria aequinoctialis Linnaeus, 1758"
"Aves Aves Procellariiformes Procellariidae Procellaria conspicillata Gould, 1844 pardela-de-óculos VU","Procellaria conspicillata Gould, 1844"
"Aves Aves Ciconiiformes Ardeidae Tigrisoma fasciatum (Such, 1825) socó-boi-escuro CR","Tigrisoma fasciatum (Such, 1825)"
"Aves Aves Ciconiiformes Ardeidae Cochlearius cochlearius (Linnaeus, 1766) arapapá EN","Cochlearius cochlearius (Linnaeus, 1766)"
"Aves Aves Ciconiiformes Ardeidae Nyctanassa violacea (Linnaeus, 1758) savacu-de-coroa VU","Nyctanassa violacea (Linnaeus, 1758)"
"Aves Aves Ciconiiformes Ardeidae Pilherodius pileatus (Boddaert, 1783) garça-real VU","Pilherodius pileatus (Boddaert, 1783)"
"Aves Aves Ciconiiformes Threskiornithidae Eudocimus ruber (Linnaeus, 1758) guará EN","Eudocimus ruber (Linnaeus, 1758)"
"Aves Aves Ciconiiformes Ciconiidae Ciconia maguari (Gmelin, 1789) maguari CR","Ciconia maguari (Gmelin, 1789)"
"Aves Aves Ciconiiformes Ciconiidae Jabiru mycteria (Lichtenstein, 1819) tuiuiú EN","Jabiru mycteria (Lichtenstein, 1819)"
"Aves Aves Cathartiformes Cathartidae Cathartes burrovianus Cassin, 1845 urubu-de-cabeça-amarela VU","Cathartes burrovianus Cassin, 1845"
"Aves Aves Cathartiformes Cathartidae Sarcoramphus papa (Linnaeus, 1758) urubu-rei EN","Sarcoramphus papa (Linnaeus, 1758)"
"Aves Aves Falconiformes Accipitridae Circus cinereus Vieillot, 1816 gavião-cinza VU","Circus cinereus Vieillot, 1816"
"Aves Aves Falconiformes Accipitridae Circus buffoni (Gmelin, 1788) gavião-do-banhado CR","Circus buffoni (Gmelin, 1788)"
"Aves Aves Falconiformes Accipitridae Leucopternis lacernulatus (Temminck, 1827) gavião-pombo-pequeno VU","Amadonastur lacernulatus (Temminck, 1827)"
"Aves Aves Falconiformes Accipitridae Leucopternis polionotus (Kaup, 1847) gavião-pombo-grande VU","Pseudastur polionotus (Kaup, 1847)"
"Aves Aves Falconiformes Accipitridae Buteogallus aequinoctialis (Gmelin, 1788) caranguejeiro CR","Buteogallus aequinoctialis (Gmelin, 1788)"
"Aves Aves Falconiformes Accipitridae Harpyhaliaetus coronatus (Vieillot, 1817) águia-cinzenta CR","Urubitinga coronata (Vieillot, 1817)"
