	#	Ordem	Família	Espécie ou Subespécie	Categoria	CBRO 2021
406	*	Accipitriformes	Accipitridae	Amadonastur lacernulatus	VU	Amadonastur lacernulatus
407	*	Accipitriformes	Accipitridae	Circus cinereus	VU	Circus cinereus
408	*	Accipitriformes	Accipitridae	Harpia harpyja	VU	Harpia harpyja
409	*	Accipitriformes	Accipitridae	Leptodon forbesi	EN	Leptodon forbesi
410	*	Accipitriformes	Accipitridae	Morphnus guianensis	VU	Morphnus guianensis
411	*	Accipitriformes	Accipitridae	Urubitinga coronata	EN	Urubitinga coronata
412	*	Anseriformes	Anatidae	Mergus octosetaceus	CR	Mergus octosetaceus
413	*	Apodiformes	Trochilidae	Augastes lumachella	EN	Augastes lumachella
414		Apodiformes	Trochilidae	Campylopterus calcirupicola	EN	Campylopterus calcirupicola
415		Apodiformes	Trochilidae	Colibri delphinae greenewalti	EN	Colibri delphinae greenewalti
416	*	Apodiformes	Trochilidae	Discosura langsdorffi langsdorffi	EN	Discosura langsdorffi langsdorffi
417	*	Apodiformes	Trochilidae	Glaucis dohrnii	VU	Glaucis dohrnii
418	*	Apodiformes	Trochilidae	Lophornis gouldii	VU	Lophornis gouldii
419	*	Apodiformes	Trochilidae	Phaethornis aethopygus	VU	Phaethornis aethopygus
420	*	Apodiformes	Trochilidae	Phaethornis major	VU	Phaethornis major
421	*	Apodiformes	Trochilidae	Phaethornis margarettae	EN	Phaethornis margarettae
422	*	Apodiformes	Trochilidae	Thalurania watertonii	EN	Thalurania watertonii
423	*	Caprimulgiformes	Caprimulgidae	Hydropsalis candicans	EN	Hydropsalis candicans
424		Caprimulgiformes	Caprimulgidae	Nyctiprogne vielliardi	EN	Nyctiprogne vielliardi
425		Charadriiformes	Burhinidae	Burhinus bistriatus	VU	Burhinus bistriatus
426	*	Charadriiformes	Charadriidae	Charadrius wilsonia	VU	Charadrius wilsonia
427	*	Charadriiformes	Laridae	Sterna dougallii	VU	Sterna dougallii
428	*	Charadriiformes	Laridae	Sterna hirundinacea	VU	Sterna hirundinacea
429		Charadriiformes	Laridae	Thalasseus acuflavidus	VU	Thalasseus acuflavidus
430	*	Charadriiformes	Laridae	Thalasseus maximus	EN	Thalasseus maximus
431	*	Charadriiformes	Scolopacidae	Calidris canutus	VU	Calidris canutus
432	*	Charadriiformes	Scolopacidae	Calidris pusilla	EN	Calidris pusilla
433	*	Charadriiformes	Scolopacidae	Calidris subruficollis	VU	Calidris subruficollis
434	*	Charadriiformes	Scolopacidae	Limnodromus griseus	EN	Limnodromus griseus
435		Charadriiformes	Scolopacidae	Numenius hudsonicus	VU	Numenius hudsonicus
436	*	Columbiformes	Columbidae	Columbina cyanopis	CR	Columbina cyanopis
437	*	Columbiformes	Columbidae	Paraclaravis geoffroyi	CR (PEX)	Paraclaravis geoffroyi
438	*	Coraciiformes	Momotidae	Momotus momota marcgraviana	EN	Momotus momota marcgravianus
439	*	Cuculiformes	Cuculidae	Neomorphus geoffroyi	VU	Neomorphus geoffroyi
440	*	Cuculiformes	Cuculidae	Neomorphus geoffroyi amazonicus	VU	Neomorphus geoffroyi amazonicus
441	*	Cuculiformes	Cuculidae	Neomorphus geoffroyi dulcis	EN	Neomorphus geoffroyi dulcis
442	*	Cuculiformes	Cuculidae	Neomorphus geoffroyi geoffroyi	CR (PEX)	Neomorphus geoffroyi geoffroyi
443	*	Cuculiformes	Cuculidae	Neomorphus squamiger	VU	Neomorphus squamiger
444		Galbuliformes	Bucconidae	Malacoptila minor	VU	Malacoptila minor
445	*	Galbuliformes	Bucconidae	Monasa morphoeus morphoeus	EN	Monasa morphoeus morphoeus
446		Galliformes	Cracidae	Aburria cujubi	VU	Aburria cujubi
447	*	Galliformes	Cracidae	Aburria jacutinga	EN	Aburria jacutinga
448	*	Galliformes	Cracidae	Crax blumenbachii	EN	Crax blumenbachii
449	*	Galliformes	Cracidae	Crax fasciolata pinima	CR	Crax fasciolata pinima
450	*	Galliformes	Cracidae	Crax globulosa	EN	Crax globulosa
451	*	Galliformes	Cracidae	Ortalis remota	CR	Ortalis remota
452	*	Galliformes	Cracidae	Pauxi mitu	EW	Pauxi mitu
453	*	Galliformes	Cracidae	Penelope jacucaca	VU	Penelope jacucaca
454	*	Galliformes	Cracidae	Penelope pileata	VU	Penelope pileata
455	*	Galliformes	Cracidae	Penelope superciliaris alagoensis	CR	Penelope superciliaris alagoensis
456	*	Galliformes	Odontophoridae	Odontophorus capueira plumbeicollis	CR	Odontophorus capueira plumbeicollis
457	*	Gruiformes	Psophiidae	Psophia dextralis	VU	Psophia dextralis
458	*	Gruiformes	Psophiidae	Psophia interjecta	EN	Psophia interjecta
459	*	Gruiformes	Psophiidae	Psophia obscura	CR	Psophia obscura
460		Gruiformes	Psophiidae	Psophia viridis	VU	Psophia viridis
461	*	Gruiformes	Rallidae	Laterallus spilopterus	EN	Laterallus spilopterus
462		Gruiformes	Rallidae	Laterallus xenopterus	EN	Laterallus xenopterus
463	*	Nyctibiiformes	Nyctibiidae	Nyctibius aethereus aethereus	EN	Nyctibius aethereus aethereus
464	*	Nyctibiiformes	Nyctibiidae	Nyctibius leucopterus	CR	Nyctibius leucopterus
465		Passeriformes	Cardinalidae	Granatellus pelzelni paraensis	VU	Granatellus pelzelni paraensis
466	*	Passeriformes	Conopophagidae	Conopophaga cearae	EN	Conopophaga cearae
467	*	Passeriformes	Conopophagidae	Conopophaga lineata lineata	VU	Conopophaga lineata lineata
468	*	Passeriformes	Corvidae	Cyanocorax hafferi	VU	Cyanocorax hafferi
469	*	Passeriformes	Cotingidae	Cotinga maculata	EN	Cotinga maculata
470	*	Passeriformes	Cotingidae	Lipaugus conditus	VU	Lipaugus conditus
471	*	Passeriformes	Cotingidae	Procnias albus wallacei	VU	Procnias albus
472	*	Passeriformes	Cotingidae	Xipholena atropurpurea	VU	Xipholena atropurpurea
473		Passeriformes	Cotingidae	Xipholena lamellipennis	VU	Xipholena lamellipennis
474	*	Passeriformes	Dendrocolaptidae	Campylorhamphus cardosoi	VU	Campylorhamphus cardosoi
475	*	Passeriformes	Dendrocolaptidae	Campylorhamphus multostriatus	VU	Campylorhamphus multostriatus
476	*	Passeriformes	Dendrocolaptidae	Campylorhamphus trochilirostris trochilirostris	VU	Campylorhamphus trochilirostris trochilirostris
477	*	Passeriformes	Dendrocolaptidae	Dendrexetastes rufigula paraensis	VU	Dendrexetastes paraensis
478	*	Passeriformes	Dendrocolaptidae	Dendrocincla merula badia	VU	Dendrocincla merula badia
479	*	Passeriformes	Dendrocolaptidae	Dendrocincla taunayi	EN	Dendrocincla taunayi
480	*	Passeriformes	Dendrocolaptidae	Dendrocolaptes medius	VU	Dendrocolaptes medius
481	*	Passeriformes	Dendrocolaptidae	Dendrocolaptes retentus	VU	Dendrocolaptes retentus
482	*	Passeriformes	Dendrocolaptidae	Dendrocolaptes transfasciatus	VU	Dendrocolaptes transfasciatus
483	*	Passeriformes	Dendrocolaptidae	Hylexetastes brigidai	VU	Hylexetastes uniformis brigidai
484		Passeriformes	Dendrocolaptidae	Hylexetastes uniformis	VU	Hylexetastes uniformis
485	*	Passeriformes	Dendrocolaptidae	Xiphocolaptes carajaensis	VU	Xiphocolaptes carajaensis
486	*	Passeriformes	Dendrocolaptidae	Xiphocolaptes falcirostris	VU	Xiphocolaptes falcirostris
487	*	Passeriformes	Dendrocolaptidae	Xiphorhynchus atlanticus	VU	Xiphorhynchus atlanticus
488	*	Passeriformes	Dendrocolaptidae	Xiphorhynchus guttatoides gracilirostris	EN	Xiphorhynchus guttatoides gracilirostris
489	*	Passeriformes	Formicariidae	Chamaeza nobilis fulvipectus	VU	Chamaeza nobilis fulvipectus
490	*	Passeriformes	Fringillidae	Spinus yarrellii	VU	Spinus yarrellii
491	*	Passeriformes	Furnariidae	Acrobatornis fonsecai	VU	Acrobatornis fonsecai
492		Passeriformes	Furnariidae	Anabazenops dorsalis	VU	Anabazenops dorsalis
493	*	Passeriformes	Furnariidae	Asthenes hudsoni	VU	Asthenes hudsoni
494		Passeriformes	Furnariidae	Asthenes luizae	EN	Asthenes luizae
495	*	Passeriformes	Furnariidae	Automolus lammi	EN	Automolus lammi
496	*	Passeriformes	Furnariidae	Cinclodes espinhacensis	EN	Cinclodes espinhacensis
497	*	Passeriformes	Furnariidae	Coryphistera alaudina	CR	Coryphistera alaudina
498	*	Passeriformes	Furnariidae	Leptasthenura platensis	CR	Leptasthenura platensis
499	*	Passeriformes	Furnariidae	Pseudoseisura lophotes	VU	Pseudoseisura lophotes
500	*	Passeriformes	Furnariidae	Synallaxis infuscata	EN	Synallaxis infuscata
501	*	Passeriformes	Furnariidae	Synallaxis kollari	VU	Synallaxis kollari
502		Passeriformes	Furnariidae	Syndactyla ucayalae	VU	Syndactyla ucayalae
503	*	Passeriformes	Furnariidae	Thripophaga macroura	VU	Thripophaga macroura
504	*	Passeriformes	Grallariidae	Grallaria varia distincta	VU	Grallaria varia distincta
505	*	Passeriformes	Grallariidae	Grallaria varia intercedens	EN	Grallaria varia intercedens
506	*	Passeriformes	Grallariidae	Hylopezus paraensis	VU	Hylopezus paraensis
507		Passeriformes	Grallariidae	Hylopezus whittakeri	VU	Hylopezus whittakeri
508	*	Passeriformes	Icteridae	Anumara forbesi	VU	Anumara forbesi
509		Passeriformes	Icteridae	Cacicus koepckeae	VU	Cacicus koepckeae
510	*	Passeriformes	Icteridae	Xanthopsar flavus	VU	Xanthopsar flavus
511	*	Passeriformes	Motacillidae	Anthus nattereri	VU	Anthus nattereri
512		Passeriformes	Onychorhynchidae	Onychorhynchus swainsoni	VU	Onychorhynchus swainsoni
513		Passeriformes	Oxyruncidae	Oxyruncus cristatus tocantinsi	VU	Oxyruncus cristatus tocantinsi
514	*	Passeriformes	Passerellidae	Arremonops conirostris	EN	Arremonops conirostris
