NOME_CIENTIFICO	AUTOR	ANO	NOME_COMUM	CLASSE	ORDEM	FAMILIA	CATEGORIA	CRITERIO	CBRO_2021
Aburria jacutinga	(Spix)	1825	jacutinga	Aves	Galliformes	Cracidae	CR	C2a(i)	Aburria jacutinga
Accipiter poliogaster	(Temminck)	1824	tauató-pintado	Aves	Falconiformes	Accipitridae	EN	D	Accipiter poliogaster
Agelasticus cyanopus	(Vieillot)	1819	carretão	Aves	Passeriformes	Icteridae	EN	B2ab(iii)c(ii); D	Agelasticus cyanopus
Alectrurus risora	(Vieillot)	1824	tesoura-do-campo	Aves	Passeriformes	Tyrannidae	RE		Alectrurus risora
Amazona pretrei	(Temminck)	1830	charão	Aves	Psittaciformes	Psittacidae	VU	A2a	Amazona pretrei
Amazona vinacea	(Kuhl)	1820	papagaio-de-peito-roxo	Aves	Psittaciformes	Psittacidae	EN	C2a(i)	Amazona vinacea
Anabacerthia amaurotis	(Temminck)	1823	limpa-folha-miúdo	Aves	Passeriformes	Furnariidae	VU	B1ab(iii)	Anabacerthia amaurotis
Anodorhynchus glaucus	(Vieillot)	1816	arara-azul-pequena	Aves	Psittaciformes	Psittacidae	RE		Anodorhynchus glaucus
Anthus nattereri	Sclater	1878	caminheiro-grande	Aves	Passeriformes	Motacillidae	VU	A2ce+3ce+4c e; B1ab(ii, iii)	Anthus nattereri
Aphantochroa cirrhochloris	(Vieillot)	1818	beija-flor-cinza	Aves	Apodiformes	Trochilidae	VU	B1ab(ii, iii)	Aphantochroa cirrochloris
Asthenes hudsoni	(Sclater)	1874	lenheiro-platino	Aves	Passeriformes	Furnariidae	VU	B1ab(iii)	Asthenes hudsoni
Attila rufus	(Vieillot)	1819	capitão-de-saíra	Aves	Passeriformes	Tyrannidae	VU	B1ab(iii)	Attila rufus
Automolus leucophthalmus	(Wied-Neuwied)	1821	barranqueiro-de-olho-branco	Aves	Passeriformes	Furnariidae	CR	B1ab(i, ii, iii, iv); C2a(ii); D	Automolus leucophthalmus
Baryphthengus ruficapillus	(Vieillot)	1818	juruva	Aves	Coraciiformes	Momotidae	VU	B1ab(iii)+2ab (iii)	Baryphthengus ruficapillus
Calidris canutus	(Linnaeus)	1758	maçarico-de-papo-vermelho	Aves	Charadriiformes	Scolopacidae	EN	A3b+4ab	Calidris canutus
Capsiempis flaveola	(Lichtenstein)	1823	marianinha-amarela	Aves	Passeriformes	Tyrannidae	VU	B1ab(iii)	Capsiempis flaveola
Cinclodes pabsti	Sick	1969	pedreiro, teresinha	Aves	Passeriformes	Furnariidae	VU	A2c+3c+4c; C1	Cinclodes pabsti
Circus cinereus	Vieillot	1816	gavião-cinza	Aves	Falconiformes	Accipitridae	VU	C2a(i)	Circus cinereus
Clibanornis dendrocolaptoides	(Pelzeln)	1859	cisqueiro	Aves	Passeriformes	Furnariidae	VU	B1ab(ii, iii); C1	Clibanornis dendrocolaptoides
Cnemotriccus fuscatus fuscatus	(Wied-Neuwied)	1831	guaracavuçu	Aves	Passeriformes	Tyrannidae	VU	B1ab(ii, iii)	Cnemotriccus fuscatus fuscatus
Colonia colonus	(Vieillot)	1818	viuvinha	Aves	Passeriformes	Tyrannidae	VU	D	Colonia colonus
Contopus cinereus	(Spix)	1825	papa-moscas-cinzento	Aves	Passeriformes	Tyrannidae	VU	B2ab(ii, iii)	Contopus cinereus
Coryphistera alaudina	Burmeister	1860	corredor-crestudo	Aves	Passeriformes	Furnariidae	CR	B1ac(ii)	Coryphistera alaudina
Corythopis delalandi	(Lesson)	1830	estalador	Aves	Passeriformes	Tyrannidae	EN	B1ab(ii, iii)	Corythopis delalandi
Crypturellus noctivagus	(Wied)	1820	jaó-do-litoral	Aves	Tinamiformes	Tinamidae	CR	B2ab(iii); D	Crypturellus noctivagus
Culicivora caudacuta	(Vieillot)	1818	papa-moscas-do-campo	Aves	Passeriformes	Tyrannidae	VU	A2ce+3ce+4c e; B1ab(iii)	Culicivora caudacuta
Dendrocincla turdina	(Lichtenstein)	1820	arapaçu-liso	Aves	Passeriformes	Dendrocolaptidae	CR	B2ab(ii, iii); C2a(i)	Dendrocincla turdina
Diomedea dabbenena	Mathews	1929	albatroz-de-tristão	Aves	Procellariiformes	Diomedeidae	CR	A4ade	Diomedea dabbenena
Diomedea epomophora	Lesson	1825	albatroz-real-do-sul	Aves	Procellariiformes	Diomedeidae	VU	D2	Diomedea epomophora
Diomedea exulans	Linnaeus	1758	albatroz-viajeiro, albatroz-errante	Aves	Procellariiformes	Diomedeidae	EN	A4ad	Diomedea exulans
Diomedea sanfordi	Murphy	1917	albatroz-real-do-norte	Aves	Procellariiformes	Diomedeidae	EN	A4bce	Diomedea sanfordi
Dromococcyx pavoninus	Pelzeln	1870	peixe-frito-pavonino	Aves	Cuculiformes	Cuculidae	VU	B1ab(iii)	Dromococcyx pavoninus
Dromococcyx phasianellus	(Spix)	1824	peixe-frito-verdadeiro	Aves	Cuculiformes	Cuculidae	CR	D	Dromococcyx phasianellus
Drymophila rubricollis	(Bertoni)	1901	trovoada-de-bertoni	Aves	Passeriformes	Thamnophilidae	EN	B2ab(iii)	Drymophila rubricollis
Dryocopus galeatus	(Temminck)	1822	pica-pau-de-cara-amarela	Aves	Piciformes	Picidae	EN	C2a(ii)	Celeus galeatus
Eleoscytalopus indigoticus	(Wied-Neuwied)	1831	macuquinho	Aves	Passeriformes	Rhinocryptidae	EN	B1ab(ii, iii)	Eleoscytalopus indigoticus
Falco deiroleucus	Temminck	1825	falcão-de-peito-vermelho	Aves	Falconiformes	Falconidae	RE		Falco deiroleucus
Formicarius colma	Boddaert	1783	galinha-do-mato	Aves	Passeriformes	Formicariidae	EN	B1ab(ii, iii)+2ª b(ii, iii); D	Formicarius colma
Gallinago undulata	(Boddaert)	1783	narcejão	Aves	Charadriiformes	Scolopacidae	VU	A2ce+3ce+4c e; B1ab(ii, iii)	Gallinago undulata
Gubernatrix cristata	(Vieillot)	1817	cardeal-amarelo	Aves	Passeriformes	Emberizidae	CR	C2a(ii); D	Gubernatrix cristata
Harpia harpyja	(Linnaeus)	1758	gavião-real	Aves	Falconiformes	Accipitridae	CR	D	Harpia harpyja
Hemitriccus diops	(Temminck)	1822	olho-falso	Aves	Passeriformes	Rhynchocyclidae	EN	B2ab(iii)	Hemitriccus diops
Hemitriccus orbitatus	(Wied-Neuwied)	1831	tiririzinho-do-mato	Aves	Passeriformes	Tyrannidae	CR	C2a(i)	Hemitriccus orbitatus
Hydropsalis anomala	(Gould)	1838	curiango-do-banhado	Aves	Caprimulgiformes	Caprimulgidae	EN	C1	Hydropsalis anomala
Leptasthenura platensis	Reichenbach	1853	rabudinho	Aves	Passeriformes	Furnariidae	CR	D	Leptasthenura platensis
Lophornis magnificus	(Vieillot)	1817	topetinho-vermelho	Aves	Apodiformes	Trochilidae	RE		Lophornis magnificus
Mackenziaena severa	(Lichtenstein)	1823	borralhara	Aves	Passeriformes	Formicariidae	VU	B1ab(iii)	Mackenziaena severa
Manacus manacus	(Linnaeus)	1766	rendeira	Aves	Passeriformes	Pipridae	VU	B1ab(iii)	Manacus manacus
Morphnus guianensis	(Daudin)	1800	uiraçu-falso	Aves	Falconiformes	Accipitridae	RE		Morphnus guianensis
Myiarchus tyrannulus	Statius Muller	1776	maria-cavaleira-de-rabo-ferrugem	Aves	Passeriformes	Tyrannidae	VU	B1ab(iii)	Myiarchus tyrannulus
Myrmeciza squamosa	Pelzeln	1868	papa-formiga-de-grota	Aves	Passeriformes	Thamnophilidae	EN	B1ab(ii, iii)+2ª b(ii, iii)	Myrmoderus squamosus
Myrmotherula unicolor	Ménétriès	1835	choquinha-cinzenta	Aves	Passeriformes	Thamnophilidae	VU	B1ab(ii, iii)	Myrmotherula unicolor
Parabuteo leucorrhous	(Quoy & Gaimard)	1824	gavião-de-sobre-branco	Aves	Falconiformes	Accipitridae	VU	C2a(i)	Parabuteo leucorrhous
Patagioenas plumbea	(Vieillot)	1818	pomba-amargosa	Aves	Columbiformes	Columbidae	VU	B1ab(iii)	Patagioenas plumbea
Philydor atricapillus	(Wied-Neuwied)	1821	limpa-folha-coroado	Aves	Passeriformes	Furnariidae	VU	B1ab(iii)	Philydor atricapillus
Philydor lichtensteini	Cabanis & Heine	1859	limpa-folha-ocráceo	Aves	Passeriformes	Furnariidae	VU	B2ab(ii, iii)	Anabacerthia lichtensteini
Phoebetria fusca	(Hilsenberg)	1822	piau-preto	Aves	Procellariiformes	Diomedeidae	EN	A4bd	Phoebetria fusca
Phylloscartes eximius	(Temminck)	1822	barbudinho	Aves	Passeriformes	Rhynchocyclidae	VU	B2ab(ii, iii)	Phylloscartes eximius
