scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Amaurospiza moesta,"Amaurospiza moesta (Hartlaub, 1853)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Microspingus cinereus,"Poospiza cinerea Bonaparte, 1850",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila angolensis,Oryzoborus angolensis (Linnaeus 1766),EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila maximiliani,"Oryzobous maximiliani Cabanis, 1851",CR,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sicalis flaveola,"Sicalis flaveola(Linnaeus, 1766)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila falcirostris,"Sporophila falcirostris (Temminck, 1820)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila frontalis,"Sporophila frontalis (Verreaux, 1869)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila melanogaster,"Sporophila melanogaster (Pelzeln, 1870)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila palustris,"Sporophila palustris (Barrows, 1883)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Sporophila ruficollis,"Sporophila ruficollis Cabanis, 1851",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Anumara forbesi,"Curaeus forbesi (Sclater, 1886)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Nemosia rourei,"Nemosia rourei Cabanis, 1870",CR(PE),MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Anthus nattereri,"Anthus nattereri Sclater, 1878",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Carpornis cucullata,"Carpornis cucullatus (Swanison, 1821)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Cotinga maculata,"Cotinga maculata (Muller, 1776)",CR,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Laniisoma elegans,"Laniisoma elegans (Thunberg, 1823)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Lipaugus lanioides,"Lipaugus lanioides (Lesson, 1844)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Phibalura flavirostris,"Phibaltura Flavirostris Vieillot, 1816",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Procnias nudicollis,"Procnias nudicollis (Vieillot, 1817)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Pyroderus scutatus,"Pyroderus scutatus (Shaw, 1792)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
