especie,especieCBRO
Aburria jacutinga,Aburria jacutinga
Accipiter bicolor,Accipiter bicolor
Accipiter poliogaster,Accipiter poliogaster
Accipiter superciliosus,Hieraspiza superciliosa
Acrobatornis fonsecai,Acrobatornis fonsecai
Aegolius harrisii,Aegolius harrisii
Agelaius thilius,Agelasticus thilius
Agelasticus cyanopus,Agelasticus cyanopus
Agelasticus thilius,Agelasticus thilius
Agelatius cyanopus,Agelasticus cyanopus
Alectrurus risora,Alectrurus risora
Alectrurus tricolor,Alectrurus tricolor
Alipiopsitta xanthops,Alipiopsitta xanthops
Amadonastur lacernulatus,Amadonastur lacernulatus
Amaurolimnas concolor,Amaurolimnas concolor
Amaurospiza moesta,Amaurospiza moesta
Amazona amazonica,Amazona amazonica
Amazona brasiliensis,Amazona brasiliensis
Amazona farinosa,Amazona farinosa
Amazona ochrocephala xantholaema,Amazona ochrocephala xantholaema
Amazona pretrei,Amazona pretrei
Amazona rhodochoryta,Amazona rhodocorytha
Amazona rhodocorytha,Amazona rhodocorytha
Amazona vinacea,Amazona vinacea
Amazona xanthops,Alipiopsitta xanthops
Anabacerthia amaurofis,Anabacerthia amaurotis
Anabacerthia amaurotis,Anabacerthia amaurotis
Anabazenops fuscus,Anabazenops fuscus
Anadorhynchus glaucus,Anodorhynchus glaucus
Anas flavirostris,Anas flavirostris
Anas georgica,Anas georgica
Anhima cornuta,Anhima cornuta
Anhinga anhinga,Anhinga anhinga
Anodorhynchus glaucus,Anodorhynchus glaucus
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus
Anodorhynchus leari,Anodorhynchus leari
Anous minutus,Anous minutus
Anous stolidus,Anous stolidus
Anthus hellmayri,Anthus hellmayri
Anthus nattereri,Anthus nattereri
Antilophia galeata,Antilophia galeata
Antrostomus rufus,Antrostomus rufus
Antrostomus sericocaudatus,Antrostomus sericocaudatus
Antrostomus sericocaudatus sericocaudatus,Antrostomus sericocaudatus sericocaudatus
Aphantochroa cirrhochloris,Aphantochroa cirrochloris
Ara ararauna,Ara ararauna
Ara chloroptera,Ara chloropterus
