"Especie","Nome_Comum","Categoria"
"Rhea americana","ema","Quase Ameaçada"
"Tinamus tao","azulona","Vulnerável"
"Tinamus solitarius","macuco","Quase Ameaçada"
"Tinamus major","inhambu-serra","Quase Ameaçada"
"Tinamus guttatus","inhambu-galinha","Quase Ameaçada"
"Crypturellus cinereus","inhambu-pixuna","Pouco Preocupante"
"Crypturellus soui","tururim","Pouco Preocupante"
"Crypturellus obsoletus","inhambuguacu","Pouco Preocupante"
"Crypturellus undulatus","jao","Pouco Preocupante"
"Crypturellus strigulosus","inhambu-relogio","Pouco Preocupante"
"Crypturellus duidae","inhambu-de-pe-cinza","Quase Ameaçada"
"Crypturellus erythropus","inhambu-de-perna-vermelha","Pouco Preocupante"
"Crypturellus zabele","zabele",NA
"Crypturellus noctivagus","jao-do-sul","Quase Ameaçada"
"Crypturellus atrocapillus","inhambu-de-coroa-preta","Quase Ameaçada"
"Crypturellus variegatus","inhambu-anhanga","Pouco Preocupante"
"Crypturellus brevirostris","inhambu-carijo","Pouco Preocupante"
"Crypturellus bartletti","inhambu-anhangai","Pouco Preocupante"
"Crypturellus parvirostris","inhambu-chororo","Pouco Preocupante"
"Crypturellus tataupa","inhambu-chinta","Pouco Preocupante"
"Rhynchotus rufescens","perdiz","Pouco Preocupante"
"Nothura boraquira","codorna-do-nordeste","Pouco Preocupante"
"Nothura minor","codorna-mineira","Vulnerável"
"Nothura maculosa","codorna-amarela","Pouco Preocupante"
"Taoniscus nanus","codorna-carape","Vulnerável"
"Anhima cornuta","anhuma","Pouco Preocupante"
"Chauna torquata","tacha","Pouco Preocupante"
"Dendrocygna bicolor","marreca-caneleira","Pouco Preocupante"
"Dendrocygna viduata","irere","Pouco Preocupante"
"Dendrocygna autumnalis","marreca-cabocla","Pouco Preocupante"
"Cygnus melancoryphus","cisne-de-pescoco-preto","Pouco Preocupante"
"Coscoroba coscoroba","capororoca","Pouco Preocupante"
"Neochen jubata","pato-corredor","Quase Ameaçada"
"Chloephaga picta","ganso-de-magalhaes","Pouco Preocupante"
"Cairina moschata","pato-do-mato","Pouco Preocupante"
"Sarkidiornis sylvicola","pato-de-crista","Pouco Preocupante"
"Callonetta leucophrys","marreca-de-coleira","Pouco Preocupante"
"Amazonetta brasiliensis","marreca-ananai","Pouco Preocupante"
"Spatula versicolor","marreca-cricri","Pouco Preocupante"
"Spatula platalea","marreca-colhereira","Pouco Preocupante"
"Spatula discors","marreca-de-asa-azul","Pouco Preocupante"
"Spatula cyanoptera","marreca-colorada","Pouco Preocupante"
"Mareca sibilatrix","marreca-oveira","Pouco Preocupante"
"Anas bahamensis","marreca-toicinho","Pouco Preocupante"
"Anas acuta","arrabio","Pouco Preocupante"
"Anas georgica","marreca-parda","Pouco Preocupante"
"Anas flavirostris","marreca-pardinha","Pouco Preocupante"
"Netta erythrophthalma","paturi-preta","Pouco Preocupante"
"Netta peposaca","marrecao","Pouco Preocupante"
"Mergus octosetaceus","pato-mergulhao","Em Perigo Crítico"
"Heteronetta atricapilla","marreca-de-cabeca-preta","Pouco Preocupante"
"Nomonyx dominicus","marreca-caucau","Pouco Preocupante"
"Oxyura vittata","marreca-rabo-de-espinho","Pouco Preocupante"
"Penelope marail","jacumirim","Pouco Preocupante"
"Penelope superciliaris","jacupemba","Pouco Preocupante"
"Penelope jacquacu","jacu-de-spix","Pouco Preocupante"
"Penelope obscura","jacuguacu","Pouco Preocupante"
"Penelope pileata","jacupiranga","Vulnerável"
"Penelope ochrogaster","jacu-de-barriga-castanha","Vulnerável"
"Penelope jacucaca","jacucaca","Vulnerável"
"Aburria cumanensis","jacutinga-de-garganta-azul","Pouco Preocupante"
"Aburria cujubi","cujubi","Pouco Preocupante"
"Aburria jacutinga","jacutinga","Em Perigo"
"Ortalis canicollis","aracua-do-pantanal","Pouco Preocupante"
"Ortalis guttata","aracua-pintado","Pouco Preocupante"
"Ortalis remota","aracua-guarda-faca",NA
"Ortalis araucuan","aracua-de-barriga-branca","Pouco Preocupante"
"Ortalis squamata","aracua-escamoso","Pouco Preocupante"
"Ortalis motmot","aracua-pequeno","Pouco Preocupante"
"Ortalis ruficeps","aracuazinho",NA
"Ortalis superciliaris","aracua-de-sobrancelhas","Pouco Preocupante"
"Nothocrax urumutum","urumutum","Pouco Preocupante"
"Crax alector","mutum-poranga","Vulnerável"
"Crax globulosa","mutum-de-fava","Em Perigo"
"Crax fasciolata","mutum-de-penacho","Vulnerável"
"Crax blumenbachii","mutum-de-bico-vermelho","Em Perigo"
"Pauxi tomentosa","mutum-do-norte","Pouco Preocupante"
"Pauxi tuberosa","mutum-cavalo","Pouco Preocupante"
"Pauxi mitu","mutum-do-nordeste","Extinta na Natureza"
"Colinus cristatus","uru-do-campo","Pouco Preocupante"
"Odontophorus gujanensis","uru-corcovado","Quase Ameaçada"
"Odontophorus capueira","uru","Pouco Preocupante"
"Odontophorus stellatus","uru-de-topete","Pouco Preocupante"
"Phoenicopterus chilensis","flamingo-chileno","Quase Ameaçada"
"Phoenicopterus ruber","flamingo","Pouco Preocupante"
"Phoenicoparrus andinus","flamingo-dos-andes","Vulnerável"
"Phoenicoparrus jamesi","flamingo-da-puna","Quase Ameaçada"
"Rollandia rolland","mergulhao-de-orelha-branca","Pouco Preocupante"
"Tachybaptus dominicus","mergulhao-pequeno","Pouco Preocupante"
"Podilymbus podiceps","mergulhao-cacador","Pouco Preocupante"
"Podicephorus major","mergulhao-grande","Pouco Preocupante"
"Podiceps occipitalis","mergulhao-de-orelha-amarela","Pouco Preocupante"
"Columba livia","pombo-domestico","Pouco Preocupante"
"Patagioenas speciosa","pomba-trocal","Pouco Preocupante"
"Patagioenas picazuro","pomba-asa-branca","Pouco Preocupante"
"Patagioenas maculosa","pomba-do-orvalho","Pouco Preocupante"
"Patagioenas fasciata","pomba-de-coleira","Pouco Preocupante"
"Patagioenas cayennensis","pomba-galega","Pouco Preocupante"
"Patagioenas plumbea","pomba-amargosa","Pouco Preocupante"
"Patagioenas subvinacea","pomba-botafogo","Vulnerável"
"Geotrygon montana","pariri","Pouco Preocupante"
"Geotrygon violacea","juriti-vermelha","Pouco Preocupante"
"Leptotila verreauxi","juriti-pupu","Pouco Preocupante"
"Leptotila rufaxilla","juriti-de-testa-branca","Pouco Preocupante"
"Zenaida auriculata","avoante","Pouco Preocupante"
"Claravis pretiosa","pararu-azul","Pouco Preocupante"
"Uropelia campestris","rolinha-vaqueira","Pouco Preocupante"
"Columbina passerina","rolinha-cinzenta","Pouco Preocupante"
"Columbina minuta","rolinha-de-asa-canela","Pouco Preocupante"
"Columbina talpacoti","rolinha-roxa","Pouco Preocupante"
"Columbina squammata","rolinha-fogo-apagou","Pouco Preocupante"
"Columbina picui","rolinha-picui","Pouco Preocupante"
"Columbina cyanopis","rolinha-do-planalto","Em Perigo Crítico"
"Guira guira","anu-branco","Pouco Preocupante"
"Crotophaga major","anu-coroca","Pouco Preocupante"
"Crotophaga ani","anu-preto","Pouco Preocupante"
"Tapera naevia","saci","Pouco Preocupante"
"Dromococcyx phasianellus","peixe-frito","Pouco Preocupante"
"Dromococcyx pavoninus","peixe-frito-pavonino","Pouco Preocupante"
"Neomorphus geoffroyi","jacu-estalo","Vulnerável"
"Neomorphus squamiger","jacu-estalo-escamoso","Quase Ameaçada"
"Neomorphus rufipennis","jacu-estalo-de-asa-vermelha","Pouco Preocupante"
"Neomorphus pucheranii","jacu-estalo-de-bico-vermelho","Pouco Preocupante"
"Coccycua minuta","chincoa-pequeno","Pouco Preocupante"
"Micrococcyx cinereus","papa-lagarta-cinzento","Pouco Preocupante"
